x,y,z,d
0.39,0.6317781,0.26325443,0.26559797
-0.41,-0.6182219,0.96325443,0.26575983
-0.21,-0.1682219,0.46325443,0.26618147
0.09,-0.2182219,0.71325443,0.26642627
0.09,-0.9682219,0.71325443,0.27022147
-0.26,-0.0182219,0.11325443,0.2703525
-0.31,0.6317781,0.31325443,0.27051517
0.34,-0.0682219,0.16325443,0.2709363
0.24,-0.3182219,0.81325443,0.27142036
-0.06,-0.9682219,0.71325443,0.27166075
-0.01,0.2817781,0.51325443,0.27496767
0.34,-0.0682219,0.21325443,0.27798963
0.14,0.1317781,0.21325443,0.27806002
-0.16,0.6817781,0.26325443,0.2787025
-0.41,-0.7682219,0.61325443,0.2790233
0.29,-0.0682219,0.36325443,0.2812289
-0.16,0.5317781,0.31325443,0.28123865
-0.01,0.0817781,0.41325443,0.28260204
-0.21,0.8817781,0.66325443,0.28368065
0.19,-0.1182219,0.11325443,0.28482768
0.34,0.7317781,0.41325443,0.28545102
0.34,0.7317781,0.21325443,0.28816152
-0.01,-0.1182219,0.11325443,0.28915757
0.04,0.2317781,0.51325443,0.29022563
0.24,-0.9182219,0.31325443,0.29240537
0.34,0.3317781,0.21325443,0.29430223
-0.31,0.7817781,0.16325443,0.29800603
0.19,0.6817781,0.31325443,0.29823768
-0.16,0.8817781,0.71325443,0.2993582
-0.16,0.4817781,0.31325443,0.29952806
0.39,0.6817781,0.26325443,0.30017817
0.19,-0.4682219,0.96325443,0.3003824
-0.16,-0.0682219,0.46325443,0.30258283
-0.26,0.4317781,0.31325443,0.3030982
0.09,0.5317781,0.31325443,0.30317026
-0.11,-0.4682219,1.01325443,0.30478108
0.09,0.4317781,0.31325443,0.307337
-0.01,-0.9682219,0.66325443,0.31462586
-0.21,-0.1682219,0.51325443,0.31505013
0.29,-0.2682219,0.51325443,0.31548536
0.09,0.9817781,0.16325443,0.31652611
0.24,0.7317781,0.46325443,0.3167806
-0.11,0.2817781,0.36325443,0.31695828
-0.21,0.4317781,0.31325443,0.31963712
0.29,0.7317781,0.36325443,0.32550162
0.19,-0.0182219,0.51325443,0.32724863
0.14,0.6817781,0.31325443,0.3277458
0.04,-0.8682219,0.61325443,0.32924694
0.14,-0.9182219,0.71325443,0.32969517
0.14,-0.2182219,0.31325443,0.33031356
0.24,0.4317781,0.46325443,0.3309902
0.19,0.3817781,0.56325443,0.33117422
-0.16,0.9317781,0.66325443,0.33252525
